"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","This test will create a new student","SUCCESS","2023-09-30T18:45:58.333+05:30[Asia/Calcutta]","0.0","2.99"
"First serenity test","Get all students","SUCCESS","2023-09-30T18:45:58.389+05:30[Asia/Calcutta]","0.0","2.74"
"Tags test","Provide a 405 status code when incorrect http method is used to access a resource","SUCCESS","2023-09-30T18:46:00.903+05:30[Asia/Calcutta]","0.0","0.06"
"Tags test","This test will verify if a status code of 200 is returned for GET response","SUCCESS","2023-09-30T18:46:00.963+05:30[Asia/Calcutta]","0.0","0.1"
"Student CRUD test","Verify if the Student was added to the application","SUCCESS","2023-09-30T18:46:01.358+05:30[Asia/Calcutta]","0.0","1.11"
"Student CRUD test","Update the user information and verify the user information","SUCCESS","2023-09-30T18:46:02.473+05:30[Asia/Calcutta]","0.0","0.16"
"Student CRUD test","Delete the information of the student","SUCCESS","2023-09-30T18:46:02.638+05:30[Asia/Calcutta]","0.0","0.04"
